"Target"
"NONE"
"Sensor protein fixL"
"Ig gamma-1 chain C region secreted form"
"5-3 exoribonuclease 2"
"Uracil phosphoribosyltransferase"
"Exportin-T"
"Arachidonate 12-lipoxygenase, 12S-type"
"Multidrug resistance operon repressor"
"Iodotyrosine dehalogenase 1"
"Aminotransferase ybdL"
"Hemoglobin subunit alpha"
"Cysteine protease avirulence protein avrPphB"
"Myoneurin"
"Cold shock domain-containing protein E1"
"Probable dipeptidyl-peptidase 3"
"Aldose 1-epimerase"
"Extracellular giant hemoglobin major globin subunit A1"
"Recombination endonuclease VII"
"Ubiquitin-like protein 5"
"Myoglobin"
"Probable manganese-dependent inorganic pyrophosphatase"
"Cytochrome c"
"Uncharacterized HTH-type transcriptional regulator yxaF"
"Ubiquitin carboxyl-terminal hydrolase 19"
"Tyrocidine synthetase 3"
"Uncharacterized protein yycE"
"Uncharacterized protein yxbC"
"O-GlcNAcase BT_4395"
"Mitochondrial import inner membrane translocase subunit Tim9"
"Globin LI637"
"Feruloyl esterase A"
"Genome polyprotein"
"Hemoglobin-binding protease hbp"
"Transitional endoplasmic reticulum ATPase"
"72 kDa type IV collagenase"
NA
"Uncharacterized protein MJ1651"
"Globin"
"Cell division protein kinase 2"
"Protein MJ0882"
"Cell division control protein 13"
"Zinc finger E-box-binding homeobox 2"
"Chloroplastic group IIB intron splicing facilitator CRS2, chloroplastic"
"Inosine-5-monophosphate dehydrogenase"
"Uncharacterized protein yvyC"
"tRNA pseudouridine synthase A"
"GAL10 bifunctional protein [Includes: UDP-glucose 4-epimerase"
"Transposase for transposon Tn5"
"Inositol-trisphosphate 3-kinase C"
"Glucose-6-phosphate isomerase"
"Arabinoxylan arabinofuranohydrolase"
"Bacteriophytochrome"
"3-hexulose-6-phosphate isomerase"
"Kynureninase"
"Msx2-interacting protein"
"FACT complex subunit spt16"
"Protein transport protein SEC23"
"Proto-oncogene tyrosine-protein kinase Fes/Fps"
"UPF0339 protein NMA1193/NMA1859"
"Proheparin-binding EGF-like growth factor"
"Fatty acid oxidation complex subunit alpha"
"Docking protein 2"
"Enoyl-CoA hydratase"
"C-phycocyanin alpha chain"
"Alpha-amylase type A isozyme"
"Hemoglobin subunit alpha-4"
"Myelin P2 protein"
"Lanosterol synthase"
"Malate synthase G"
"3-dehydroquinate dehydratase"
"Aldose reductase"
"Major capsid protein L1"
"Fatty acid-binding protein, intestinal"
"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
"Hypothetical protein yesE"
"Hemoglobin F-I"
"52 kDa Ro protein"
"Vascular endothelial growth factor B"
"Oligoribonuclease"
"ATP-dependent DNA helicase rep"
"Core protein VP4"
"Actin-related protein 3"
"Non-specific lipid-transfer protein"
"Scytalone dehydratase"
"Non-symbiotic hemoglobin"
"Methylmalonyl-CoA mutase large subunit"
"Spermidine synthase"
"Phosphoribosylamine--glycine ligase"
"Actin, alpha skeletal muscle"
"Carboxypeptidase Y"
"Ornithine decarboxylase, inducible"
"Fatty acid/phospholipid synthesis protein plsX"
"Tyrosyl-tRNA synthetase"
"Isoliquiritigenin 2-O-methyltransferase"
"Coagulation factor X-activating enzyme heavy chain"
"Uncharacterized protein At3g22680"
"Methyl-coenzyme M reductase I subunit alpha"
"Alcohol dehydrogenase"
"Peroxiredoxin-6"
"Heme-based aerotactic transducer hemAT"
"Protein CBFA2T1"
"Nucleoside diphosphate kinase, cytosolic"
