Gene.symbol,logFC,P.Value
JUN,-0.243544393,0.007390361
CYB5A,-0.371043357,0.007398226
TERC,-0.23619025,0.007404716
BABAM1///BABAM1,-0.274841036,0.007423433
,0.166071536,0.007428225
CD40LG,0.682282143,0.007455017
KBTBD4,0.140583571,0.007457081
WAPL,0.159391857,0.007478521
SLK,0.252308643,0.007506559
AURKB,-0.146448429,0.007512512
FAM103A1,0.171505536,0.007521927
,-0.128334429,0.007525486
TRIM24,0.146656357,0.007537057
KDM2A,0.145905357,0.007573618
,-0.334306036,0.007589819
LNPEP,0.205243214,0.007623614
MMP8,-1.106761107,0.007643001
,-0.109950393,0.007648101
FKBP7,-0.114334286,0.007650013
SLC39A6,0.213808929,0.007698271
MXD4,-0.163828464,0.007718523
SETX,0.1527375,0.007728685
WDR60,0.167562321,0.007733912
SNORD115-24///SNORD115-44///SNORD115-43///SNORD115-42///SNORD115-41///SNORD115-40///SNORD115-39///SNORD115-38///SNORD115-36///SNORD115-34///SNORD115-30///SNORD115-29///SNORD115-26///SNORD115-21///SNORD115-16///SNORD115-15///SNORD115-14///SNORD115-13///SNORD115-12///SNORD115-11///SNORD115-10///SNORD115-9///SNORD115-8///SNORD115-6///SNORD115-5///SNORD115-4///SNORD115-1///SNRPN,-0.108414,0.007748061
MOB2,-0.133158429,0.007761455
AIMP2///EIF2AK1,-0.152590893,0.007881443
FAM103A1,0.179084786,0.007893587
TPK1,0.278394536,0.007946115
IL1RAP,0.475304107,0.007952475
NEMP2,0.2567275,0.007955736
C1orf131,0.156238714,0.00797732
ATG14,-0.179387536,0.008009654
VTI1B,-0.257983679,0.008048521
PPP2R3B,-0.183402857,0.008058419
ZBTB2,0.131320679,0.008073025
FIS1,-0.2429485,0.008098117
CYTH4,0.138,0.008141658
FAM72A///FAM72D///FAM72B,-0.203947214,0.0081497
RAD21,0.187907143,0.008198178
HJURP,-0.171560179,0.008231888
DOCK9,0.446317214,0.00828825
MID2,0.421003464,0.008413643
TMEM11,-0.181445679,0.008482084
MGST1,-0.441377036,0.008505946
HIST1H3G,-0.21477425,0.008518956
ZNF8,0.14090575,0.008573687
SLC15A2,-0.320824536,0.008574237
ATP2B4,0.265523964,0.008606929
NOCT,-0.119590786,0.008620774
COPG1,0.167754929,0.008658874
SMURF2,0.189048929,0.008694734
MIR181B2,0.203287464,0.008700336
GIPC2,-0.138026714,0.008762217
SPTY2D1,0.152939393,0.008813441
ROGDI,-0.281899286,0.008870532
GIGYF2,0.147325607,0.008877526
APBA2,0.298595429,0.008939741
NBR1,0.1498125,0.009097377
AMPD2,0.272871964,0.009108832
CHD8,0.177147286,0.00911814
MICAL3,-0.252576286,0.009121627
HNRNPK,0.132105357,0.009124737
,-0.142341143,0.009209109
LYL1,-0.349576357,0.009221667
,-0.226942357,0.009229378
TGFBR2,0.1543075,0.009259562
PF4V1,-0.532382536,0.009266532
E2F8,-0.145744286,0.009293865
,0.131799536,0.009297171
LOC642980,0.169475,0.009329483
GMPR2,0.157059643,0.00935823
KAT7,0.182275714,0.009380985
,0.119398821,0.009429869
UACA,-0.15533275,0.009437126
DNAJB6,0.14043425,0.009445777
FAM120B,0.147463536,0.009456074
,-0.241099107,0.009486226
SIN3A,0.159330107,0.009491481
AMFR,-0.272188929,0.009530352
,-0.253829643,0.009550873
,-0.368201714,0.009686797
HCK,0.179720714,0.009726724
ABCB1,0.262727179,0.009777653
SCN3A,-0.302756286,0.009778987
GPX4,-0.243756071,0.009822265
ENDOD1,-0.3524255,0.009848396
,-0.314772179,0.009853236
ESCO2,-0.229279857,0.009856542
OR2AE1,0.224543321,0.00987339
HIST1H3B,-0.398616607,0.009914777
OSBPL6,-0.384835607,0.009955001
FAM72A///FAM72D///FAM72B,-0.193625143,0.009964683
,-0.222803607,0.010066977
,-0.222803607,0.010066977
UQCR11,-0.182303179,0.010071397
ANKRD44,0.156046786,0.010144979
CIDECP,-0.168341679,0.010167771
PTPRM,0.353239786,0.010176757
PLEKHG1///PLEKHG1,-0.398198071,0.010228817
WTH3DI///RAB6C///RAB6A,-0.152694286,0.010248759
UBXN10,-0.212274214,0.010310244
,-0.181027464,0.010376956
ARID2,0.1732125,0.010392445
