Gene.symbol,logFC,P.Value
GOLGA2P9,-0.549317667,7.85740608082397e-06
,-0.297325806,7.93462189504564e-06
GMEB1,0.380792944,7.94641435531858e-06
SLC39A7,0.306142889,7.97961683174875e-06
SLC39A7,0.306142889,7.97961683174875e-06
SLC39A7,0.306142889,7.97961683174875e-06
RNF185,0.546159528,8.14673348566576e-06
SHPK,0.328907778,8.19534209189823e-06
,-0.535265833,8.19646449034855e-06
,-0.362774167,8.29515808704502e-06
NKIRAS2,0.365627806,8.3907950937671e-06
SPRYD3,0.404228639,8.51753236944378e-06
,-0.583577,8.59251969516928e-06
UBE2E4P///UBE2E3,-0.392687639,8.62852189740322e-06
F8A3///F8A2///F8A1,0.254866667,8.89678829468488e-06
TSPAN18,0.474392056,8.9845410426946e-06
TBRG4,0.405204139,9.09310350033182e-06
,-0.515473611,9.2269465155919e-06
LSM14A,-0.257206028,9.25198295602455e-06
,-0.3850445,9.26033523570572e-06
,-0.478984861,9.26829347391843e-06
,-0.411726667,9.3148845232936e-06
HIST1H3B,-0.833310333,9.40655480687803e-06
ZNF263,0.336228667,9.47366359134629e-06
SAE1,0.324315889,9.54371356296605e-06
,-0.434106667,9.61001504317116e-06
GLYR1,0.362597444,9.72202808111479e-06
DHX16,0.267899028,9.75411069791819e-06
,-0.323115167,9.91010298199261e-06
,-0.315930833,1.0148382496748e-05
PIM2,0.460484667,1.01966338563649e-05
,-0.338963778,1.03476198415954e-05
,-0.415421417,1.03787877912464e-05
,-0.733631667,1.04743693804629e-05
,-0.68183,1.0586607808285e-05
CEP68,0.413691222,1.09223802716066e-05
,-0.6374175,1.10361688721384e-05
,-0.477806472,1.10811914196606e-05
,-0.465793222,1.14785798171229e-05
,-0.452296694,1.17883978197043e-05
F8A3///F8A2///F8A1,0.241719722,1.19248040654787e-05
,-1.294427417,1.23903598427355e-05
,-0.523829833,1.25667032811944e-05
P2RX5-TAX1BP3///TAX1BP3,0.513932333,1.28716277932735e-05
,-0.370283389,1.30080076600074e-05
,-0.547905722,1.30953940737187e-05
,-0.440805472,1.30974585478288e-05
SNX17,0.454289583,1.32675875088276e-05
USP21,0.271257028,1.33050353373862e-05
TOX2,-0.32099125,1.34195701922311e-05
,-0.525174278,1.34942000584775e-05
,-0.442706806,1.36060663446881e-05
,-0.472220194,1.37886657260507e-05
,-0.310227306,1.38768591032163e-05
,-0.366471556,1.44216681987699e-05
,-0.630025222,1.44526863029894e-05
,-0.342525417,1.44845043940417e-05
COPS6,0.452639972,1.48242992059872e-05
,-0.793952361,1.50556444538385e-05
,-0.387313778,1.52210607978924e-05
,-0.667549583,1.5663311830038e-05
,-0.511787194,1.60340178558343e-05
PGAP2,0.301660667,1.61041970815761e-05
,-0.248294,1.61993021225664e-05
,-0.248294,1.61993021225664e-05
UBE2Z,0.427747389,1.66819317335656e-05
,-0.281321167,1.6755910270115e-05
,-0.63595025,1.68940651274601e-05
,-0.374155444,1.71221775701498e-05
STX5,0.249969583,1.71450127028851e-05
,-0.209728194,1.72769037824018e-05
RIPK3,0.339897111,1.74672378992012e-05
LOC731157,0.391431417,1.74700603063462e-05
,-0.406918639,1.74860462667457e-05
,-0.600345667,1.75232760314375e-05
,-0.449958389,1.81227646423231e-05
DCAF12L1,-0.342167306,1.85866687569334e-05
GSTM2P1,-0.306516806,1.8598359959401e-05
DHX16,0.278604972,1.86326239522439e-05
,-0.389955222,1.86693525171772e-05
MED8,0.295010333,1.90619913214117e-05
ADH4,-0.273246194,1.9169103640502e-05
SERINC5,0.559294667,1.92089337369061e-05
,-0.463040028,1.95073079385219e-05
,-0.456504778,1.97287411026649e-05
,-0.860500806,1.97311798935157e-05
,-0.568229528,1.97686373511749e-05
,-0.50449675,2.00507958415144e-05
ARF6,0.359224667,2.03632765615688e-05
,-0.282857528,2.04700074811895e-05
UBAP2L,0.307280528,2.07738129945078e-05
,-0.427347361,2.08742384361141e-05
,0.666932806,2.09961015417837e-05
WDR73,0.24389575,2.15310068608505e-05
SUFU,0.210659167,2.16759388861538e-05
GLB1,0.392964667,2.17986702649594e-05
,-0.334154083,2.19589755996538e-05
,-0.301063333,2.21760806172048e-05
CXorf40B,0.339061639,2.23715477880725e-05
,-0.311014889,2.24175232100141e-05
ALDOC,0.389006389,2.24683930055568e-05
,-0.236901194,2.2577698862614e-05
ALG12,0.248997611,2.27885388632424e-05
LTBP3,0.285645278,2.29139405312632e-05
,-0.562639333,2.30619867154561e-05
ISCU,-0.473747778,2.3404130798778e-05
PRKCSH,0.343334444,2.34864839462304e-05
TUSC2,0.250104861,2.38124950524559e-05
BCL9,0.430566806,2.48990712536263e-05
,-0.330193444,2.53497804780918e-05
DNAJA2///DNAJA2,-0.452882972,2.59647383286932e-05
,-0.218678278,2.60198662227383e-05
UNK,0.370430361,2.61457712867096e-05
,-0.249251028,2.65323051612846e-05
,-0.54353625,2.66685788251535e-05
LRRC59,0.360227444,2.6735035739891e-05
,-0.546942833,2.68470433260873e-05
MAN1C1,0.310488333,2.68986829143422e-05
GGT7,0.321133389,2.71755291874607e-05
UCK1,0.256944167,2.72536565146115e-05
MOGS,0.392708667,2.76959703390197e-05
LDLRAP1,0.600649167,2.76965954822343e-05
HARS,0.406025417,2.79174450961971e-05
,-0.538419806,2.79964171022087e-05
,-0.692575778,2.80730716992788e-05
GANAB,0.461732722,2.89365521314351e-05
NUDCD3,0.326597194,2.91239770360969e-05
ACACB,0.289278222,2.94804758229964e-05
CLN8,0.331235333,2.99803367336859e-05
PRKCA,0.717832889,3.01629814350994e-05
,-0.396372556,3.02425543386178e-05
,-0.45220275,3.03463863057629e-05
PEX10,0.266843361,3.06614252201771e-05
,-0.418648139,3.08250433916832e-05
,-0.851339944,3.09825662572887e-05
TNXB///ATF6B,0.275212944,3.10780660629639e-05
ATG13,0.261023806,3.11281574911598e-05
ARRDC1-AS1,0.407085056,3.15486182585822e-05
,-0.356315889,3.16161504778953e-05
,-0.645466167,3.19050135193294e-05
MYBBP1A,0.267104278,3.20408328360051e-05
MYO15B,0.470018,3.20800519768452e-05
,-0.762772278,3.21618911589294e-05
,-0.340796333,3.25363968485546e-05
,-0.38131375,3.25671405235355e-05
AAR2,0.425846972,3.28016503363688e-05
STARD7-AS1,0.368778139,3.30925998270762e-05
PEX19,0.2772905,3.32888588790309e-05
,-0.261639111,3.3328760979373e-05
,-0.362929139,3.34702345989689e-05
HIST1H3F,-0.527886889,3.38050035123085e-05
CRELD1,0.239297972,3.41981250420867e-05
CHMP6,0.261010556,3.51753677295056e-05
TRADD,0.259468639,3.55801587171608e-05
USP30,0.332838417,3.61000840180621e-05
,-0.47323975,3.63040636080097e-05
,-0.341380389,3.64663306679376e-05
GNG2,-0.545998694,3.74888229821296e-05
ACD,0.257719306,3.75672833608895e-05
SPDYA,-0.267065833,3.7580255001226e-05
,-0.635799917,3.77007719457743e-05
,-0.398910028,3.83800984522386e-05
TNXB///ATF6B,0.276928444,3.84713431201068e-05
HIST2H3D///HIST2H3A///HIST2H3C,-0.455736972,3.99644914282598e-05
,-0.38544425,4.02018717292314e-05
,-0.248069444,4.02059703799388e-05
GLA,0.360877778,4.06317258777343e-05
GPR108,0.352686861,4.07653891488768e-05
C14orf93,0.350000667,4.08850389186715e-05
,0.328984583,4.13246875431394e-05
APBB3,0.371676944,4.20900833026133e-05
AP1G2,0.315202389,4.21639911258687e-05
,0.501444778,4.2356970115946e-05
,-0.618718528,4.24504122368427e-05
,-0.249005361,4.24529193746393e-05
,-0.348859,4.27320344513779e-05
,-1.03203975,4.35584661878913e-05
,-1.03203975,4.35584661878913e-05
EIF3F,0.579850944,4.39726298677936e-05
,-0.478184806,4.45568525991311e-05
,-0.672366667,4.460849917048e-05
SYCP3,-0.34842925,4.46839054748661e-05
,-0.405588778,4.51738873832675e-05
DGCR6L,-0.258642694,4.53290188749007e-05
,-0.348915139,4.64253695793338e-05
ZNF672,0.2211695,4.68016581233813e-05
EFNA3,0.212299889,4.70840377455059e-05
,-0.382599611,4.79673985673185e-05
,0.353546167,4.92138481867843e-05
,-0.420797806,4.97267567296326e-05
,-0.434808889,4.99930912192282e-05
BUD13,0.191400583,5.10291671756889e-05
,-0.300082583,5.10644553730367e-05
SIGMAR1,0.235297389,5.1178836723404e-05
ZNF862,0.253640889,5.12497147170319e-05
,-0.992423111,5.17388668180193e-05
,-0.468113639,5.19016630879589e-05
,-0.381463583,5.196213329036e-05
,-0.294314667,5.21170007277305e-05
,-0.376221889,5.21544655146282e-05
,-0.184731667,5.21811613392509e-05
,-0.430012583,5.23495997019109e-05
,-0.318045,5.24658887896318e-05
,-0.392425417,5.30307324100801e-05
TMED9,0.332914806,5.33511504094063e-05
BCL2L2-PABPN1///PABPN1,0.218959028,5.38500324171049e-05
PHYKPL,0.288925417,5.42678739950186e-05
LOC100132147,-0.414306139,5.47303278600419e-05
,-0.300408694,5.48762344985411e-05
,-0.803571778,5.51596297827057e-05
,-0.697941333,5.52440463395463e-05
,-0.309737389,5.53526782299718e-05
LMF2,0.285310056,5.54594882198509e-05
AAMP,0.326560889,5.546247978614e-05
,-0.449020889,5.57792627184663e-05
ZMIZ2,0.189582972,5.58309553519269e-05
SUN2,0.324177278,5.60748212579766e-05
DENND4B,0.269762167,5.63434694582727e-05
H2AFX,-0.213970611,5.64161165591746e-05
,0.594002833,5.76132465706024e-05
,-0.287348611,5.89335435403403e-05
,-0.438641861,5.99968220686933e-05
INTS3,0.310485083,6.01379808233445e-05
,-0.341586778,6.06377915919668e-05
ZSCAN5A,-0.221389806,6.07180764314698e-05
SNX12,0.203583333,6.11620277253922e-05
PLA2G4B///JMJD7///JMJD7-PLA2G4B,0.352951806,6.11935717637933e-05
RHOT2,0.182429111,6.11966696058358e-05
CENPF,-0.321700889,6.14272584864164e-05
HEMK1,0.371631972,6.15007344577413e-05
,-0.255290472,6.21849027502049e-05
,-0.414607028,6.24014023197938e-05
,-0.439687611,6.25112960381841e-05
,-0.265653611,6.26162575857941e-05
,-0.303795583,6.26950097522227e-05
,-0.336613694,6.27990083655867e-05
,-0.358741889,6.38015562040927e-05
,-0.316950472,6.38565178148008e-05
,-0.249334861,6.38776254745066e-05
TMEM258,0.554683028,6.39638617461328e-05
,-0.381425278,6.40142918117214e-05
,-0.447838056,6.53402511404592e-05
B3GAT3,0.315417833,6.56600970999943e-05
,-0.272484806,6.61727802472044e-05
,-0.302267417,6.63938877773501e-05
,-0.392940722,6.6948592852229e-05
B3GAT2,-0.232114,6.74160284298495e-05
RPRD2,0.341290111,6.75151928772759e-05
DBP,0.244807,6.77473591518169e-05
,-0.423797806,6.79566722612688e-05
HIST1H3G,-0.426985139,6.99848427644045e-05
KCTD13,0.180148833,7.11683152237482e-05
SYS1-DBNDD2///SYS1,0.246600472,7.13235384640335e-05
HIST2H2AB///HIST2H2AB,-0.512229972,7.14696956624545e-05
GLE1,0.239802917,7.17325534913356e-05
,-0.346256306,7.25121098682895e-05
,-0.309145861,7.27506492911287e-05
,-0.442752833,7.27913597566605e-05
,-0.285149694,7.29394409890128e-05
,-0.490775833,7.33897985385435e-05
ZNF317,0.262045722,7.34739040246009e-05
HINFP,0.270429167,7.3531398013492e-05
ZDHHC3,0.313817611,7.40852700251614e-05
,-0.414779222,7.4767688087802e-05
ELOVL1,0.251458611,7.48579312717029e-05
NIPSNAP1,0.268875333,7.5219431794659e-05
PEX12,0.298677889,7.64598890558079e-05
CNPY3,0.254037222,7.68907649265027e-05
,-0.390205472,7.72838608429238e-05
RFT1,0.302668056,7.7820254923407e-05
,-0.5044045,7.81044467396091e-05
LOC440896,-0.234915083,7.81709216810856e-05
ZNF609,0.338222167,7.83266166023018e-05
NUMA1,0.292250778,7.83822913180553e-05
,-0.26374875,7.84117562825467e-05
,-0.455321,7.84441127612975e-05
,-0.380746833,7.85911644064235e-05
,-0.262283444,7.88344089699545e-05
,-0.262283444,7.88344089699545e-05
,-0.262283444,7.88344089699545e-05
,-0.296006472,7.97566242465853e-05
GUSBP11,0.322138889,8.09057374201309e-05
PPP2R1A,0.3042165,8.10822345558322e-05
ENTPD4,0.270189944,8.14031279065842e-05
KLHL36,0.269123306,8.15441971681726e-05
CASP2,0.287190028,8.35970316162126e-05
USF1,0.316537833,8.52945015818187e-05
C11orf68,0.260858583,8.60316296992165e-05
MEA1,0.354009722,8.7479540544411e-05
,-0.355925222,8.75933075596274e-05
,-0.323585056,8.78746003530698e-05
,-0.455208139,8.82048255115776e-05
SHCBP1,-0.264595056,8.95241831733525e-05
SPRR2B,-0.326090861,9.01769153584057e-05
,-0.795090861,9.08256198354466e-05
LOC105370792,-0.264348667,9.09197219222169e-05
ZNF574,0.269074528,9.12235595731762e-05
,-0.294462306,9.15569688458281e-05
MEPCE,0.222666083,9.15717289458482e-05
,-0.475506222,9.19612859111964e-05
,-0.458484639,9.31009635505838e-05
DDX41,0.364128917,9.32272229786587e-05
ATL3,0.414002778,9.35641678328125e-05
SLC25A11,0.26074275,9.45625187281811e-05
MAP3K12,0.260564889,9.46054892099733e-05
,-0.430146389,9.46425202217427e-05
LEMD2,0.171349472,9.46426834996168e-05
MIR221,-0.251216444,9.5409674460282e-05
,-0.339898111,9.65162510169734e-05
MFAP3,0.400461611,9.68274580038552e-05
,-0.248849972,9.7364881176449e-05
,-0.285269167,9.75291033078911e-05
,-0.484580222,9.76806963824687e-05
TRABD,0.187837028,9.77461352876165e-05
,-0.287106861,9.84001997390069e-05
,-0.854637917,9.916919603389e-05
,-0.461024611,9.92981037950713e-05
,-0.321185417,9.95849400016709e-05
RMND5B,0.260149222,9.96359910342337e-05
,-0.267232833,9.96442050614834e-05
C6orf47,0.307566667,9.97148282336836e-05
C6orf47,0.307566667,9.97148282336836e-05
FOXP1,0.240571472,9.99714207870711e-05
,-0.321376944,0.000100236
ZDHHC16,0.405726222,0.000100484
PHF23,0.258610611,0.000101765
RAB4B-EGLN2///MIA-RAB4B///RAB4B,0.288311917,0.000102152
HIST2H3D///HIST2H3A///HIST2H3C,-0.364293167,0.000103814
,-0.298288083,0.000103867
,-0.363583722,0.000104107
,-0.308639889,0.00010417
,-0.249070167,0.00010477
,-0.311051472,0.000105816
TFIP11,0.310213417,0.00010683
,-0.43324125,0.000107217
,-0.260933861,0.000109253
NKX6-2,-0.348473833,0.000109688
,-0.308026472,0.000109938
,-0.480378667,0.000110983
HRCT1,-0.265179417,0.000111603
DGCR14,0.254901111,0.000113233
CD151,0.761795361,0.000113669
,-0.264195028,0.000114692
,-0.330504167,0.000115029
,-0.417742694,0.000117359
PRDM7,-0.291401028,0.00011793
,-0.71344375,0.000119015
,-0.279504917,0.000119137
ZBTB9,0.348352417,0.000119264
HIST1H3C,-0.299147722,0.000119429
MBD1,0.19523025,0.000119565
CCDC113,-0.239238417,0.000119864
CRSP8P///MED27,0.433331722,0.000121454
,-0.432697972,0.000121585
,-0.25556725,0.000123343
SLC16A13///JOSD1,0.381314528,0.000123468
TNFAIP1,0.219632639,0.000123554
NDUFV1,0.351973722,0.000123774
,-0.269938,0.000123774
,-0.651064917,0.000124261
,-0.330805778,0.000125227
TRAPPC12,0.227167583,0.000125884
,-0.320777028,0.000126056
,-0.254720056,0.000127224
,-0.597368556,0.000127678
,-0.247222972,0.000127814
,-0.492667389,0.00012814
BCS1L,0.33373025,0.000128375
SMYD5,0.350410278,0.000128493
PPM1A,-0.457148611,0.000129861
KBTBD4,0.247082111,0.00013014
,-0.306118,0.000130339
CCNT1,0.229679667,0.000130575
KCNK12,-0.341045139,0.000130892
,-0.236506667,0.000131106
CSRP1,0.458628389,0.000132303
,-0.352711861,0.000134648
,-0.243346167,0.000134909
,-0.602213889,0.000135384
