Gene.symbol,logFC,P.Value
KIAA1147,0.92042575,1.8678446634835e-05
AMFR,-0.760769136,1.91216660877206e-05
TUBGCP5,0.565983114,1.95709163175376e-05
ANGEL1,0.460802591,1.97993479965408e-05
ENDOD1,-1.054162045,1.98076091237733e-05
SRP68,0.661998841,1.98542745925166e-05
ICK,0.686569386,1.99762937059781e-05
CBFB,0.550273114,2.00787118531835e-05
ABCF3,0.443732705,2.03379833829163e-05
ATP13A1,0.400180159,2.0982098232403e-05
TFDP1,-1.016472955,2.10936952729211e-05
FHDC1,-0.751642477,2.113383561171e-05
TMEM183B///TMEM183A,-0.642819318,2.11889497551803e-05
,0.758577432,2.14792942615662e-05
NONO,0.515262682,2.21038152024844e-05
SIRPG,0.882607932,2.21042224712181e-05
DNHD1,0.702657318,2.21338060383529e-05
AKAP1,0.646226386,2.22353028517214e-05
NOL4L,0.502299023,2.22984553006811e-05
SESN3,-1.268430591,2.23133509688483e-05
,-0.791959227,2.23834302111848e-05
AHNAK,0.853249455,2.24837725651006e-05
CD96,1.091393591,2.25909069562212e-05
PCNX2,0.632400386,2.31624638476404e-05
SFXN1,0.8590695,2.34551729758206e-05
CD3G,1.578754568,2.36944889167799e-05
CLCC1,0.749750818,2.39542019080543e-05
METTL16,0.758988818,2.4021934886577e-05
ENTPD5,-1.095253727,2.40383867466716e-05
WDR82,0.609858068,2.41061860617236e-05
ITGA2,-0.557119727,2.45376749723015e-05
SLC20A1,0.656964886,2.47856026632265e-05
HAGH,-0.933927045,2.5099748245155e-05
NOLC1,0.817672841,2.51388246628013e-05
ANKRD9,-0.840039114,2.53442584278914e-05
,-0.971840227,2.58214131282779e-05
PDIA4,0.672453409,2.62190854278573e-05
CD40LG,1.504567432,2.63171775792797e-05
EMC3,-0.969421864,2.6441846759069e-05
SPOCK2,0.967714523,2.65576230125466e-05
SCAMP3,0.465170091,2.68121855352771e-05
SFRP2,-1.571122023,2.72461868740173e-05
PYGO2,0.419852159,2.72745587781048e-05
PAAF1,0.342311545,2.73388795020909e-05
P4HTM,0.447717955,2.76161949101649e-05
EZR///ROS1,0.628328091,2.85196317284021e-05
NIPAL3,0.647226682,3.02043417097848e-05
RRP8,0.595026,3.02868164924717e-05
EVL,0.737264977,3.11756179127833e-05
RNF157,0.841185591,3.22955171079911e-05
SERPINB9,0.673002364,3.23208175558144e-05
B4GALT3,-0.927090045,3.28946144963906e-05
LOC400464,0.533640727,3.29143403285675e-05
OSBP,0.396778841,3.32350951661042e-05
GALNT12,0.583958705,3.37382935358155e-05
TMX2,0.465001386,3.38202678551243e-05
NUP188,0.732911,3.38748043885786e-05
NCBP2,0.671445773,3.41832139142461e-05
EIF1B,-0.915546591,3.46532519270883e-05
SERGEF,0.437484341,3.46931554534562e-05
BBS2,0.807268477,3.47018319499196e-05
ACP1,-0.8669905,3.51149085621712e-05
RASGRF2,0.96481725,3.60630727970827e-05
NMT2,0.766484636,3.60667599326161e-05
FTO,0.694820864,3.62240463663991e-05
CCAR2,0.481887727,3.65660761921106e-05
MORC2,0.566750591,3.68010598667595e-05
DDOST,0.5301755,3.70599136196973e-05
IL27RA,0.612964568,3.71471574436937e-05
RHOH,0.800833273,3.72965909652418e-05
GCNT4,1.286516636,3.7463464696469e-05
NDRG2,0.554700182,3.78366321260536e-05
WDR45,-0.788717886,3.78859100488439e-05
KLHL3,0.497123977,3.81616306488963e-05
PITHD1,-1.395870591,3.923470675163e-05
PATZ1,0.450885955,3.93665412185504e-05
BABAM1///BABAM1,-0.698192591,3.95237389003466e-05
MTA1,0.524632295,3.99351621396509e-05
TRERF1,0.686564818,4.00379331821565e-05
MTURN,-0.748320818,4.00921903496162e-05
DYRK2,0.401554364,4.01407190606742e-05
ELL2,-0.757758205,4.05926413376403e-05
TTC39C,0.470301909,4.06172020784236e-05
IGF2BP2,-1.447414864,4.07382867269047e-05
GPLD1,-0.715424591,4.08108379799934e-05
KLHL36,0.447438045,4.10231449372543e-05
EXOSC10,0.612738636,4.13413997834776e-05
NELL2,1.574395636,4.17769853717442e-05
CDC42BPA,-1.045360591,4.2116542553035e-05
PPIH,0.602533864,4.24360082770307e-05
LYL1,-0.9369335,4.25396677400931e-05
SEMA4C,0.527727,4.31185114612016e-05
MESDC2,0.473560773,4.32503082344059e-05
PDE4DIP,0.722155318,4.3476702910328e-05
TMEM183B///TMEM183A,-0.665104545,4.36346857754104e-05
C1orf105,-0.415890227,4.43797847231289e-05
WBP11,0.662858818,4.45485098300605e-05
BAG1,-1.071630068,4.47890894936334e-05
SNORD56///NOP56,0.469147909,4.54790588747364e-05
NRIP3,-0.620640864,4.56230744619447e-05
DDX56,0.531144773,4.62599385618574e-05
