Gene.symbol,logFC,P.Value
SNAI1,-0.228433527,0.000847289
MIR34A,-0.288764564,0.000847528
,-0.310181845,0.000852334
H2BFWT,-0.203427436,0.000858935
TSPAN32,0.503226518,0.000869625
,-0.422908818,0.000871961
CCNB1,-0.277695836,0.000875224
ARMCX6,0.671430427,0.000876225
,-0.595087309,0.000886313
HSPB2-C11orf52///HSPB2,-0.209907682,0.000890993
,-0.323808391,0.000895657
HOXB1,-0.276996955,0.000896391
PGAM4///PGAM1,0.367117182,0.00089763
LOC100288778///WASH1///WASH7P///WASH2P///WASH3P,0.375520182,0.000897845
TNFSF8,0.478464455,0.000900396
FOXP1,0.256311236,0.000900819
GGA1,0.298766291,0.0009064
,-0.517345573,0.000916251
HGSNAT,0.368893591,0.000937319
,-0.527308045,0.000940302
PGAM4///PGAM1,0.368169636,0.000945063
GLA,0.369849236,0.000968175
CERS5,0.465762309,0.000978426
,-0.284241882,0.00098331
,-0.296062291,0.000984962
,0.446072673,0.000994795
,-0.194139618,0.000995545
LOC100129888///NIF3L1,0.367968909,0.000995814
SLC34A2///SLC34A2,-0.236573882,0.000997831
RASL11B///RASL11B,-0.296755155,0.001004428
UBL3,-0.269214864,0.001005879
DOK5,-0.290708764,0.001007586
PSMD6,-0.212436118,0.001011536
,-0.248629718,0.001014002
,-0.237371882,0.001018099
MIR221,-0.358041027,0.001028656
LOC100288778///WASH1///WASH7P///WASH2P///WASH3P,0.347013255,0.001040974
,-0.337417091,0.001043635
SLC27A6,-0.207190809,0.001044249
AP1G2,0.439138455,0.001056056
,0.454004964,0.001059636
,-0.479059709,0.00106522
ZNF697,-0.297698773,0.001066374
MTFR1L,0.4157284,0.001074915
C2CD2L,0.311822164,0.001085753
STXBP6,-0.275390009,0.001102461
PGAM4///PGAM1,0.353734455,0.001115036
PGAM4///PGAM1,0.353734455,0.001115036
BHLHB9///BHLHB9,-0.215828573,0.00111944
GLMP,0.653813918,0.001122899
,-0.341217627,0.001128016
AMDHD2,0.218041264,0.001129569
,-0.343378136,0.001142628
KRTAP1-4,-0.369315118,0.001145336
,-0.421253727,0.00114584
SLC12A4,0.268711809,0.001152114
