Gene.symbol,logFC,P.Value
,-0.345269131,0.00140282
,0.267470548,0.001410345
,-0.297508131,0.001411675
,-0.241084607,0.001428937
TMEM185A,0.277972429,0.001429839
COPS7A,0.307300274,0.001436228
,-0.213115226,0.001440929
,0.315733214,0.00144172
,-0.295669881,0.001446521
,-0.354743155,0.001447518
,-0.294411393,0.001448084
LINC01165,-0.352595179,0.001456293
,-0.240037012,0.001459905
COQ10B,-0.253376083,0.001465681
,-0.620673131,0.0014784
PRAF2,0.27424344,0.001491833
FRMD4B,0.518165833,0.001508138
,-0.245770393,0.001508982
KIF5B///KIF5B,-0.276726429,0.001517256
,-0.226771131,0.001525943
MALAT1,-0.523911429,0.001527383
SGSH,0.427649762,0.001527933
POLR2B,-0.330254369,0.001535458
TPD52L3,-0.188760429,0.001535644
TPP1,0.423673464,0.001560492
NAB2,0.16518369,0.001563043
WASF1,0.33883044,0.001566682
,0.364357048,0.001574113
DMP1,-0.17146725,0.001574614
,0.370286798,0.001587753
,-0.289029417,0.001601116
,-0.233536345,0.001625108
HNRNPH3,-0.350952262,0.001628375
,-0.319099667,0.001637263
EFNA3,0.203409071,0.001649374
OR7E37P///MGC72080///DAPL1///OR7E47P,0.444286226,0.001658586
NPHP1,-0.185881881,0.001660544
,-0.176328119,0.001663399
ENPP6,-0.297419726,0.001670068
,-0.651917917,0.001675443
,-0.412258536,0.001714986
,-0.255385798,0.001724775
ZNF99,-0.191488512,0.001726814
SNORA5A,0.591441881,0.001744228
LMAN2,0.300180476,0.001746658
,-0.35481419,0.001795191
,-0.321051131,0.001802919
,0.379089452,0.001809921
,-0.218779571,0.001831826
TMF1,-0.337753798,0.001832239
LINC01101,-0.227340202,0.001833961
MIR664B///SNORA36A///DKC1,0.29658244,0.001842508
KCNMB1,0.425687179,0.001845661
,0.259152571,0.001905325
,-0.198107119,0.001922358
FOXP1,0.213570012,0.001937608
PTCRA///SMARCD2,0.243337881,0.001946776
CERS5,0.39639231,0.00195089
PTGIR,0.288069095,0.001965785
TSPAN12,-0.190311286,0.001974054
ACP2,0.394236929,0.001983025
HIST1H2AB,-0.324175679,0.001986542
,-0.260736333,0.001994889
ARRDC1,0.269461107,0.002008101
HMG20B,0.231098107,0.002017869
LYPD4,-0.204717595,0.002025378
,0.194431845,0.002037273
,-0.501709798,0.002051376
LZTR1,0.329094702,0.002056535
TAF13,-0.317287167,0.002065571
HNRNPUL2-BSCL2///BSCL2,0.260798964,0.00206656
ABRACL,-0.485147095,0.002079434
TMEM229A,-0.467722024,0.002082411
,0.279487393,0.002110335
,-0.162383702,0.002125585
,-0.435363488,0.002131382
NSMCE1,0.568764798,0.002133098
,-0.257958619,0.002139642
,-0.2561605,0.00216434
,-0.281266607,0.002173806
FAM24A,-0.233827929,0.002177982
SEPN1,0.25780769,0.0021916
MAVS,0.243857643,0.002195872
WAPL,-0.231119571,0.0022037
ZC4H2,0.318033381,0.002250449
,-0.341032071,0.002260361
EHD3,0.605403964,0.002275301
,-0.236135202,0.002295865
SMARCA5,-0.333028357,0.002300311
MAT2B,-0.227921571,0.002325561
METTL1,0.357855226,0.002343019
FAM222A-AS1,-0.172034952,0.002346091
,-0.165088786,0.002349863
TIMP1,0.43674119,0.002384386
RBM18,-0.201990417,0.002399574
FAM183BP,-0.318099083,0.00240009
,0.26077256,0.002435312
,0.211406024,0.002477089
,0.223302298,0.00251129
GHDC,0.202136679,0.002519744
PMF1-BGLAP///PMF1,0.240056048,0.002524342
,-0.296881488,0.002548561
,-0.315100167,0.002573923
EFCAB13,0.462047619,0.002595042
MIR494,-0.224769143,0.002602369
SLC12A4,0.227890917,0.0026104
AMBRA1,0.183222774,0.002634555
PRY2///PRY,-0.19194144,0.002645363
,-0.283035333,0.002665239
SLC5A8,-0.170595155,0.002692504
AKAP8L,0.216256298,0.002693869
,-0.26365456,0.002780242
SULF1,-0.16786644,0.002817165
RAB4B-EGLN2///MIA-RAB4B///RAB4B,0.274887821,0.002823212
,-0.270881619,0.002826391
CAPNS1,0.367655238,0.002831911
MIR31,-0.239752833,0.002845293
SAXO2,0.532808214,0.002845731
SNORA5C,0.27611669,0.002848766
,-0.240911155,0.002851064
,-0.285685881,0.002857854
SEPT7,-0.245997429,0.002862514
HIST1H2BI,-0.318657869,0.002865781
SPACA5B///SPACA5,-0.178918024,0.002871789
CACYBP,-0.188384393,0.002874011
TMCO6,0.24668625,0.002874939
,-0.233083119,0.002877134
CTSA,0.343284762,0.002903304
ZMYND8,0.200619321,0.002906745
DGCR14,0.18499231,0.002915852
OR7E37P///MGC72080///OR7E5P///DAPL1///OR7E24///OR7E47P///OR7E12P///OR7E14P,0.482819524,0.002922205
ADRM1,0.249110583,0.002927954
,-0.265573881,0.002931716
,-0.269538917,0.002941346
ACRBP,0.258343155,0.002943644
