Gene.symbol,logFC,P.Value
UBE2E4P///UBE2E3,-0.357920012,3.89722130929211e-06
LOC100132147,-0.430727405,3.91990918977492e-06
TMEM115,0.315679917,3.94884867340523e-06
,-0.415139012,4.02355196081779e-06
,-0.684480857,4.10773509962355e-06
,-0.429991738,4.25380556551442e-06
CEP68,0.419672607,4.3424115804907e-06
,-0.436193774,4.50624634263408e-06
,-0.548126786,4.55421592264374e-06
,-0.269954583,4.55443885958941e-06
CENPF,-0.317659405,4.70687378341719e-06
,-0.41472375,4.76214256485173e-06
VPS4A,0.314979036,4.88711621459074e-06
,-0.330977345,4.9210447199405e-06
,-0.417206083,4.953181705077e-06
FOXJ3,0.259325357,5.21669896413507e-06
,-0.473191226,5.26446401370748e-06
,-0.375178774,5.29927940450069e-06
GPR108,0.363448012,5.3077626807798e-06
NCSTN,0.419416321,5.34121528484666e-06
,-0.576404857,5.36356498977976e-06
,-0.60628056,5.37737501925523e-06
,-0.661559036,5.37952181335501e-06
,-0.611692917,5.53498875824478e-06
TPD52L3,-0.221781643,5.55200141122225e-06
RNF185,0.546777845,5.57074929780509e-06
FOXP1,0.238368333,5.58181716706301e-06
,-0.485561619,5.61162710148745e-06
PEF1,0.33092631,5.6211020791819e-06
CXorf40B,0.357341393,5.63966467044745e-06
BCL9,0.436696476,5.65384207106305e-06
NUDCD3,0.305119274,5.6724564173795e-06
,-0.800111786,5.71148259012692e-06
ELOVL1,0.259019524,5.71299459697939e-06
CERKL,-0.196042512,5.76702344834799e-06
MIR221,-0.291551381,5.85644719050256e-06
,-0.345726393,5.9434099370106e-06
ACD,0.267071679,5.99249868047474e-06
NECAP1,0.25959281,6.06846859872319e-06
CASP2,0.282521583,6.0966759772812e-06
ARMCX6,0.617907167,6.17644690859248e-06
HIST1H3B,-0.789496202,6.25633700371413e-06
,-0.615606655,6.56237637209343e-06
,-0.425944929,6.61960036384656e-06
,-0.291370845,6.67622462466029e-06
,-0.414348512,6.81359029045261e-06
ZNF445,0.262090881,6.94218218729717e-06
,-0.293941238,6.96215361638006e-06
SARS,0.407197262,7.12794582348063e-06
PDPK1,0.379394048,7.17089878952402e-06
,-0.663384107,7.17338137447238e-06
ACSS2,0.401302905,7.25527700095005e-06
,-0.373835274,7.43514189519194e-06
,-0.254180333,7.58419654851566e-06
,-0.509972452,7.63324537672775e-06
ISCU,-0.439961786,7.64438366898523e-06
ZBTB3,0.306559274,7.66840313119243e-06
,-0.449562167,7.80057069002611e-06
,-0.341249,7.84409247572478e-06
,-1.080325869,7.88917546975303e-06
,-0.344930679,7.90918096920806e-06
,-0.380148333,7.98244634714732e-06
SYCP3,-0.347440774,8.06934757931461e-06
,-0.452621964,8.36101762443452e-06
DNAJA2///DNAJA2,-0.44841206,8.41233902238772e-06
,-0.31536325,8.46195361147769e-06
SRRM1,0.314289845,8.83218118753957e-06
,-0.580722464,9.09734677737092e-06
,-0.261003381,9.19932996652451e-06
,-0.511522119,9.22528527816135e-06
ZNF574,0.274534036,9.43025912132601e-06
,-0.463435036,9.65077958899901e-06
HIST1H3F,-0.52439281,9.78952027989575e-06
YKT6,0.243294952,9.79764877448307e-06
,-0.40917756,9.90606175082193e-06
,0.350742357,9.93565059194237e-06
,-0.349928786,9.96043226386879e-06
,-0.46943394,1.00919955739812e-05
,-0.501958774,1.02205551771323e-05
UBE4A,0.247014405,1.04264446490341e-05
USF1,0.303466167,1.06614751333604e-05
,-0.406736821,1.07014914582919e-05
,-0.421897488,1.07314869823302e-05
,-0.338918452,1.07908066921724e-05
VPS72,0.328547155,1.08004479870061e-05
,-0.442624524,1.0822515199698e-05
PEX12,0.288095286,1.10875418556313e-05
INTS3,0.327731631,1.11530849907304e-05
,-0.644825595,1.12940801205182e-05
,-0.269266036,1.15310263092534e-05
,-0.34453469,1.20240098348994e-05
TRAPPC2L,0.25744375,1.2122651512953e-05
GGA3,0.239914429,1.2139035256951e-05
PMCHL2///PMCHL1,-0.206888726,1.21736204867871e-05
C14orf93,0.322749238,1.22176593975875e-05
,-0.455890155,1.23824023989334e-05
STX5,0.247638405,1.30902341436543e-05
,-0.565078226,1.31821424327824e-05
,-0.266453333,1.36950575306704e-05
TSPAN18,0.436899298,1.37301296325564e-05
,-0.249937167,1.38704233533232e-05
MOGS,0.377982667,1.39889690961782e-05
,-0.284667202,1.4090398729881e-05
PMCHL2///PMCHL1,-0.20153181,1.4093607067742e-05
FDPSP2///FDPS,0.208736143,1.413045302237e-05
,-0.414603726,1.41978066209825e-05
,-0.38987175,1.42545946365137e-05
ZSWIM1,0.375462988,1.42806757228868e-05
ASCL1,-0.274692929,1.42813595351119e-05
,-0.372758286,1.43682828142541e-05
RPRD1B,0.189687607,1.43787977362094e-05
,-0.387239881,1.43883143285134e-05
ACACB,0.261965512,1.44749120653031e-05
PHF23,0.242666071,1.46886373366517e-05
LSM14A,-0.236532929,1.47427477889411e-05
,-0.482794298,1.53297053718691e-05
LOC731157,0.35767319,1.53373095857324e-05
MAP3K14,0.242643452,1.55023688038062e-05
UNK,0.340989595,1.57280547232546e-05
