Gene.symbol,logFC,P.Value
PRSS3P2,0.157143306,0.021928728
NLK,-0.164197141,0.021931776
,-0.167380629,0.021953851
CADM2,0.206622824,0.022229231
ACP5,-0.335959047,0.02227256
,-0.310496688,0.022346838
AP1G1,0.130190824,0.022455732
,0.114447859,0.022489361
KDM5A,0.161009941,0.023000505
HS6ST1,-0.130226994,0.023238038
OR9G4,0.109325729,0.02330826
NRDC,0.188346176,0.023319395
BROX,0.148284588,0.023553864
RAD21,0.213783512,0.023608493
ACSM2B///ACSM2A,0.129234676,0.023627294
HLF,0.136430629,0.023709588
,-0.318432171,0.023914405
TPST2,-0.194050118,0.023926161
RETSAT,-0.194007565,0.02407146
SORL1,0.278971,0.024073109
UBR5,0.169975453,0.024128434
,-0.185810918,0.024168246
PPTC7,0.186488382,0.024236158
NOP16,-0.175886241,0.024381699
LOC100233156///TEKT4P2///MAFIP,-0.276988371,0.024500106
BANP,0.167164141,0.024585553
PNLDC1,0.165489471,0.024601267
ZNF487,0.369761465,0.024606156
DYRK1A,0.124786735,0.024644108
CPQ,0.278867506,0.024648084
CCDC102B,0.133659082,0.024815512
,0.117701612,0.024882532
PPP6C,0.121692235,0.024913814
,-0.156852753,0.024914605
AKAP4,0.115547241,0.025183202
SNX29P1///SNX29P2///SNX29,-0.325545624,0.025410262
SLX1B-SULT1A4///SLX1A-SULT1A3///SLX1A///SULT1A4///SLX1B///SULT1A3///SULT1A1///SULT1A2,-0.207430982,0.025541232
,0.127388729,0.025653928
CIDEB,-0.232744629,0.02568499
SNORD103B///SNORD103A,-0.350375971,0.025929602
SNORD103B///SNORD103A,-0.350375971,0.025929602
BHLHB9///BHLHB9,0.130525947,0.026004086
GAPVD1,0.167480606,0.026010996
DOCK11,0.172020824,0.026029398
CAMTA1,0.147979571,0.026038985
,0.141807329,0.026156092
THOC5,0.234766971,0.026210354
,0.260277276,0.026239834
CD46,0.240981882,0.026389562
RXFP1,0.166574035,0.026462878
HLA-DRB5,-0.623888753,0.026471406
ZCCHC6,0.305593059,0.026508276
LOC100233156///TEKT4P2///MAFIP,-0.261596671,0.02651479
,-0.117109112,0.026754227
YTHDC1,0.163927047,0.026863765
BTBD3,-0.241466941,0.0268727
PTPRM,0.328373171,0.026896535
ZNF233,-0.125595488,0.026977469
,0.154667994,0.027088814
CPLX2,0.139115941,0.027143177
DNAH7,0.178114218,0.027176059
TIMP1,-0.241881176,0.027221574
TMIGD1,0.168413265,0.027420919
LOC100130713,-0.191681165,0.027583992
,0.146467988,0.027709512
TSPAN2,0.382348035,0.027792613
OR8H1,0.185375953,0.027859232
,0.273323547,0.027876358
OR13C2,0.167009494,0.028135686
VPS41,0.156354871,0.028136474
ATN1,-0.149316429,0.02815556
SPATA13,0.132503971,0.028408195
CDKN2B,-0.231813871,0.028525767
SHMT1,-0.221281406,0.028610724
CFHR3,0.145157765,0.029126493
FAM151B,0.190538959,0.029159515
ZNF418,-0.147540641,0.029180858
CDPF1,-0.180478194,0.02926794
RANBP3L,0.149275935,0.029317712
GNAQ,0.254344194,0.029350827
CDRT1///FBXW10,0.261274459,0.02936462
,0.4227278,0.029414634
FNIP1,0.284745088,0.029433868
SLC26A6,-0.161479359,0.029510651
,0.284948747,0.029844541
,-0.133959229,0.02985445
VSTM1,-0.539663094,0.0298873
PIFO,0.120918047,0.029936572
SGCZ,0.140841065,0.029950468
MUCL1,0.120650447,0.029967327
KIDINS220,0.194009971,0.030164123
SNX29P1///SNX29P2///SNX29,-0.248740388,0.030181931
RPGR,0.354415247,0.030238713
,-0.317574547,0.030263382
GPR155,0.254808282,0.030332791
KDM3A,0.223194088,0.030559136
CENPP,-0.174230047,0.030585391
CCR9,0.228478312,0.03060505
,0.350143529,0.030609443
ASB7,0.135664935,0.030709208
ST6GALNAC3,0.328143788,0.030839659
FOXM1,-0.171798318,0.030932454
ALKBH6,-0.119625229,0.030950657
MAN2C1,-0.245400141,0.030988636
IFNA6,0.166050835,0.030997255
ANKDD1A,-0.130047518,0.031049833
,0.117027671,0.031059538
CHKA,-0.191474694,0.03109284
GLMP,-0.324823276,0.031261617
CFH,0.3799405,0.031295629
MYCN,0.136053247,0.03139759
,-0.286506735,0.031568823
IL22RA2,0.141558894,0.03161403
BAZ1A,0.216838765,0.031668564
ERBB4,0.157430188,0.031673594
CNTNAP3B///CNTNAP3P2///CNTNAP3,0.950755935,0.031677175
LCN1,0.238089876,0.031810039
UBE2D3,0.093719941,0.031830326
NR5A2,-0.284443712,0.031973561
